Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,53700,,,,56000,55000,53000,37000,37000,45000,137000,137000,129000,129100,129100,129100,129100,129100,129100,129000,129000,129000,129000,129000,129100,129100,129100,129100,129100,129100,129100,129100,129000,129100,129000,129000,128985.7143,128967.8571,128950
Lebanon,LBN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,17400,,,,18000,36000,36000,37000,37000,50000,62800,67400,73600,68100,80900,76600,84800,84800,85100,85000,85000,76000,76000,76000,79100,79100,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
Liberia,LBR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,6800,,,,7000,8000,5000,2000,,,21000,22000,22000,14000,5300,15000,15000,15000,15000,,15000,2000,2000,2000,2040,2040,2050,2050,2050,2050,2050,2050,2000,2100,2000,2000,2007.142857,2000,1992.857143
Libya,LBY,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,73000,,,,86000,86000,86000,85000,85000,80000,80500,65500,65500,65500,65500,76500,76500,76500,76500,76000,76000,76000,76000,76000,76000,,,7000,7000,0,,,,,,0,0,0,0
St. Lucia,LCA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1357400,,,,1593000,1587000,1563000,1443000,1443000,1387000,2114500,2136220,2127990,2102720,2077880,2095000,2111400,2113000,2136700,2066830,2076830,2285440,2413940,2399300,2444776,2444776,2447597,2470964,2484593,2621950,2657600,2682630,2756000,2804200,2788000,2740000,2826700,2853004.286,2879308.571
Least developed countries: UN classification,LDC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1158130,,,,1491000,1667000,1597000,1513000,1554000,1478000,2654650,2746750,2885850,2874400,3069400,3081500,2449800,2642850,2651400,2473050,2502800,,2504000,2553000,2750301,2941176,3155380,3170580,3133200,3004450,3008550,2892530,2843000,2805250,2843000,2562000,2601864.286,2539516.786,2477169.286
Low income,LIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1856630,,,,2207000,2498000,2335000,2256000,2193000,2071000,3110050,3102850,3112400,3090200,3267000,3346600,2802600,2940950,2885400,2766800,2789800,,2772000,2820000,3075723,3266598,3260600,3275800,3238350,3212100,3212050,3215800,3142000,3116050,3165000,2934000,2995550,2958830.357,2922110.714
Liechtenstein,LIE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,21600,,,,22000,22000,110000,110000,110000,110000,235500,225200,227200,225200,218300,203600,209600,246500,240900,239000,200000,213000,213000,213000,223100,223100,223100,223100,223100,223100,265200,305200,317000,317000,317000,317000,351228.5714,365410.7143,379592.8571
Lower middle income,LMC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,5278800,,,,5913000,5465000,5678000,6009000,5957000,5720000,8326750,8536850,8722950,8685600,8681400,8690600,8541900,8682600,8770600,8202250,9252000,8674400,8811000,8817000,8918959,8905509,8904080,8991330,8919350,8991550,9184100,9448280,9480000,9580200,9724000,9595000,9860742.857,9968673.929,10076605
Low & middle income,LMY,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,14708630,,,,16319000,16111000,14934000,17056000,16296000,15901000,22527800,22690800,22446070,22524580,22322010,22431100,21487000,21607150,21593400,20729820,21911570,20841050,20928900,21185900,21759500,21938745,21965213,22100704,21228383,21340340,21510060,21584620,21550000,21811880,21830000,21563000,21817860,21872685.71,21927511.43
Lesotho,LSO,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Late-demographic dividend,LTE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,7537800,,,,8362000,7793000,7619000,9382000,8801000,8535000,11511800,11152720,10812980,10860110,10592070,10592700,10435600,10281000,10247400,9814930,10288480,10121240,9431590,9421730,9598337,9562730,9531808,9609744,9527790,9576830,9699100,9681800,9684000,9723460,9557000,9498000,9563022.857,9545914.643,9528806.429
Lithuania,LTU,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,10000,8900,9900,10050,15030,16030,16600,17200,27300,27300,28000,29000,24000,24000,24000,25240,25240,23350,23350,21950,27400,28330,29650,34000,39550,37000,37000,41281.42857,43282.85714,45284.28571
Luxembourg,LUX,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,1000,1000,1000,1000,1000,1000,1400,1400,1360,1360,1400,1400,1500,1500,1500,1512,1512,1512,1512,1612,1512,1512,1510,1510,1510,1510,1500,1500,2000,1900,1000,1000,1182.857143,1106.785714,1030.714286
Latvia,LVA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,6000,11300,12300,8100,8680,9450,8500,10000,8700,8100,5000,5000,17000,17000,5000,5745,4600,5350,5310,5310,5310,5310,5310,6000,6900,6000,9000,8267.142857,8768.571429,9270
Macau,MAC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,149000,,,,195000,195000,195000,195000,195000,195000,237500,236000,238300,238300,238300,240500,246500,246300,246300,250000,251000,246000,246000,246000,245800,245800,245800,245800,245800,245800,245800,245800,246000,245800,246000,246000,246028.5714,246064.2857,246100
Monaco,MCO,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,13000,11000,15300,15300,14430,14450,14050,12900,11600,10600,10300,9000,10000,8000,9000,8000,7733,7733,7750,7750,7750,7750,7550,7550,7000,6150,6000,6000,5464.285714,5116.071429,4767.857143
Madagascar,MDG,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,21100,,,,21000,21000,21000,21000,21000,21000,28500,28500,28500,28500,28500,28500,21600,21600,21600,21000,22000,,22000,22000,21600,21600,21600,21600,21600,21600,21600,21600,22000,21500,22000,22000,22028.57143,22096.42857,22164.28571
Maldives,MDV,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,3337700,,,,3554000,3843000,2997000,2889000,2889000,2845000,3653300,3869500,3933800,3904350,3912500,3946200,3782400,3753100,3786700,3426000,3670000,4011000,3866000,4082000,4178676,4198687,3974580,3986540,3320240,3329240,3326240,3366090,3315000,3510600,3564000,3721000,3703925.714,3768043.929,3832162.143
Mexico,MEX,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,129100,,,,154000,175000,175000,175000,175000,175000,189000,190000,190000,190000,193770,207800,203800,203800,203800,203000,204000,280000,286000,305000,331750,331750,329750,329750,325450,336050,336050,336050,336000,348000,328000,341000,338835.7143,339217.8571,339600
Marshall Islands,MHL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,12852000,,,,14112000,13613000,12599000,14800000,14103000,13830000,19417750,19587950,19333670,19434380,19055010,19084500,18684400,18666200,18708000,17963020,19121770,18884300,18156900,18365900,18683777,18672147,18704613,18824904,17990033,18128240,18298010,18368820,18408000,18695830,18665000,18629000,18822310,18913855.36,19005400.71
Macedonia,MKD,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,10000,17900,17900,22900,27500,23500,23500,26000,19900,20400,17000,19000,19000,19000,19000,8000,8000,8000,8000,8000,8000,15600,15600,16000,16000,16000,16000,18342.85714,19242.85714,20142.85714
Mali,MLI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,4900,,,,8000,13000,13000,12000,12000,12000,15200,15200,15150,15150,15200,15200,15200,15200,12200,11000,12000,12000,12000,12000,12150,12150,12150,7800,11800,13800,15800,17800,18000,21000,21000,41000,34800,38200,41600
Malta,MLT,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,2000,2000,2000,2000,2000,2000,1900,2000,1950,1900,1900,2100,2100,2100,2100,2000,2000,2000,2000,2000,2121,2127,2120,2130,2130,2130,2130,2130,2000,1750,2000,2000,1872.857143,1836.071429,1799.285714
Myanmar (Burma),MMR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,186000,,,,200000,230000,286000,286000,322000,322000,371300,406300,429050,434850,429050,429100,444300,544300,595000,482250,483000,513000,513000,513000,513250,513250,513250,513250,513250,513250,513250,513250,513000,513000,513000,463000,484321.4286,478910.7143,473500
Middle East & North Africa (excluding high income),MNA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,3039400,,,,3175000,3381000,2490000,2417000,2417000,2366000,3124200,3341600,3406450,3377050,3386400,3378900,3223800,3223500,3242100,2885000,3123000,3432000,3289000,3505000,3591145,3611150,3387050,3399050,2718250,2727250,2724250,2754400,2707000,2904550,2956000,3083000,3076764.286,3136796.429,3196828.571
Montenegro,MNE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000,15000,15000,13227,13084,12180,12180,12180,12180,12050,12050,12000,12350,12000,12000,12041.42857,12029.28571,12017.14286
Mongolia,MNG,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,33000,,,,33000,32000,31000,21000,18000,18000,31100,33500,14900,17000,16300,16300,16300,16300,15800,15000,16000,16000,16000,17000,17200,17200,17200,17200,17500,17500,17500,17500,18000,17700,18000,18000,18128.57143,18225,18321.42857
Northern Mariana Islands,MNP,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,15800,,,,65000,65000,65000,50000,50000,11000,12000,11000,6100,6100,6100,6100,11000,11000,8200,11000,11000,11000,11000,11000,11200,11200,11200,11200,11200,11200,11200,11200,11000,11200,11000,11000,10971.42857,10935.71429,10900
Mauritania,MRT,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,8500,,,,16000,17000,17000,16000,16000,11000,20700,20700,20650,20650,20650,20700,20600,20700,20700,20000,21000,21000,21000,21000,20870,20870,20850,20850,20850,20850,20850,20850,21000,20850,21000,21000,21021.42857,21048.21429,21075
Mauritius,MUS,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,1000,1000,1000,1000,1000,1000,1800,1800,1800,1800,1800,1800,1600,2000,2000,,2000,,2000,2000,2000,2000,2500,2500,2500,2500,2550,2550,3000,3000,3000,3000,3207.142857,3308.928571,3410.714286
Malawi,MWI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,5300,,,,7000,7000,8000,10000,10000,10000,9500,10800,6000,6000,6000,6000,6800,6800,6800,6000,7000,7000,7000,7000,5300,5300,6800,6800,6800,6800,6800,14900,15000,14700,15000,15000,18428.57143,19885.71429,21342.85714
Malaysia,MYS,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,110000,,,,115000,130000,128000,128000,115000,115000,140300,140300,131600,130100,125100,116100,120600,120100,124100,130000,135000,134000,134000,134000,133600,133600,133600,133600,133600,133600,133600,133600,136000,136000,136000,136000,137028.5714,137542.8571,138057.1429
North America,NAC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2234600,,,,2328000,2267000,2206000,2002000,1896000,1795000,1711300,1651900,1606000,1663950,1644950,1523300,1486800,1528600,1541600,1544000,1617000,1562000,1619000,1604000,1629718,1635117,1585800,1558200,1498850,1451450,1414800,1415900,1431000,1452200,1460000,1467000,1466528.571,1472719.643,1478910.714
Namibia,NAM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,8000,8000,8000,8100,8200,5900,9100,9100,9100,15000,15000,15000,15000,15000,15000,15000,15000,15200,15200,15200,15200,15200,15200,15200,15900,16000,15900,16000,16000,16314.28571,16457.14286,16600
New Caledonia,NCL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,4000,5000,5000,5000,5000,5000,10700,10700,10700,10700,10700,10700,10700,10700,10700,10000,10000,10000,10000,10000,10700,10700,10700,10700,10700,10700,10700,10700,10000,10300,10000,10000,9785.714286,9646.428571,9507.142857
Nigeria,NGA,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,94000,,,,107000,94000,94000,76000,76000,80000,89100,89100,107000,107000,124000,106500,160500,160500,160500,160000,161000,162000,162000,162000,162000,162000,162000,162000,162000,162000,200000,200000,215000,223000,223000,223000,242571.4286,251571.4286,260571.4286
Nicaragua,NIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,62900,,,,65000,28000,20000,15000,15000,14000,12000,17000,17000,17000,16000,16000,16000,14000,14000,14000,14000,14000,14000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Netherlands,NLD,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,105500,,,,106000,104000,104000,90000,86000,77000,78000,66700,60800,60780,60000,57100,55600,52900,59900,53000,60000,46000,41000,47000,43279,43279,43300,43300,43300,41900,41310,41310,41000,41410,41000,41000,40815.71429,40700.71429,40585.71429
Norway,NOR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,37000,,,,43000,51000,41000,36000,32000,33000,30700,30700,34300,28870,31000,27000,26700,26600,26600,25000,47000,16000,19000,19000,26450,24450,24450,25800,25800,25800,24950,23950,23000,23250,23000,25000,23135.71429,22885.71429,22635.71429
Nepal,NPL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,25000,,,,35000,35000,35000,35000,35000,35000,63000,71000,86000,90000,90000,90000,86000,91000,103000,131000,131000,131000,131000,131000,157753,157753,157750,157750,157750,157750,158600,158600,112000,111600,112000,112000,92157.14286,82248.21429,72339.28571
Nauru,NRU,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,12400,,,,12000,11000,11000,11000,11000,10000,10100,9870,9550,9550,9530,9200,9200,8700,8600,8000,9000,9000,9000,9000,9673,9673,8550,8550,8500,8500,8950,9000,9000,9400,9000,10000,9835.714286,10014.28571,10192.85714
OECD members,OED,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,7375800,,,,8015000,7914000,7815000,7392000,7265000,7269000,7361800,7269620,7195290,7188990,7077470,6733900,6519900,6532200,6524100,6320112,6573112,6406242,6422242,6423342,6348656,6375125,6234850,6235724,6156570,6080920,5955250,5968960,5950000,5953405,5936000,5861000,5855960,5830466.607,5804973.214
Oman,OMN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,29200,,,,29000,32000,29000,35000,35000,35000,47900,47900,47900,47900,47900,47900,47800,46100,46100,45000,46000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,46600,47000,47000,46885.71429,46871.42857,46857.14286
Other small states,OSS,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76000,77000,86000,90000,82000,80000,126150,128550,124140,135230,136450,129500,126900,129400,131800,119450,127000,,137330,135330,133298,135461,135310,135290,135310,135310,132430,148960,144000,149470,148000,145000,151984.2857,154152.8571,156321.4286
Pakistan,PAK,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,482800,,,,520000,550000,565000,580000,580000,580000,846000,835000,834000,834000,834000,900000,908000,909000,909000,921000,921000,923000,921000,921000,921000,946000,946000,947800,947800,925800,935800,935800,936000,944800,943000,943000,948457.1429,951135.7143,953814.2857
Panama,PAN,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,12000,,,,14000,11000,12000,11000,11000,11000,11800,11800,11800,11800,11800,11800,11800,11800,11800,,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,22050,22050,26000,26000,28000,28000,32564.28571,34844.64286,37125
Peru,PER,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,128000,,,,110000,125000,123000,112000,112000,112000,177600,193600,203000,203000,193000,193000,177000,187000,177000,157000,157000,198000,198000,191000,192000,192000,192000,192000,192000,158000,158000,158000,158000,158000,158000,158000,158000,158000,158000
Philippines,PHL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,114800,,,,112000,109000,107000,107000,107000,104000,149000,150000,153000,160300,152500,148500,151000,150000,150000,146000,147000,147000,147000,147000,165500,165500,165500,165500,165500,165500,165500,165500,153000,153350,155000,157000,150885.7143,148791.0714,146696.4286
Palau,PLW,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,3200,,,,3000,4000,4000,4000,,4000,3800,3700,4300,4300,4300,4400,4400,3100,3100,3000,3000,3000,3000,3000,3100,3100,3100,1900,1900,1900,1900,3600,4000,3600,4000,4000,4785.714286,5160.714286,5535.714286
Poland,POL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,319000,,,,350000,313000,305000,270000,260000,255000,302000,272900,265150,264050,264050,238800,228000,184400,184400,162000,162000,148000,142000,143000,121400,121400,118050,172700,172700,172700,172700,178400,191000,196700,189000,189000,198471.4286,202035.7143,205600
Pre-demographic dividend,PRE,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,1594830,,,,1843000,2286000,1351000,1225000,1263000,1228000,1927750,1967450,1994020,2028450,2019250,2003000,1606400,1665950,1730900,1325800,1399800,,1602000,1865000,2117580,2433010,2647050,2662350,2000100,2045650,2087100,1970980,1966000,2087200,2204000,1991000,2076857.143,2083502.5,2090147.857
Puerto Rico,PRI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Peoples Republic of",PRK,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,838000,,,,1040000,1200000,1200000,1200000,1100000,1100000,1243000,1169000,1244000,1244000,1244000,1244000,1271000,1271000,1271000,1295000,1295000,1295000,1295000,1295000,1379000,1379000,1379000,1379000,1379000,1379000,1379000,1469000,1469000,1469000,1469000,1469000,1507571.429,1523642.857,1539714.286
Portugal,PRT,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,73000,,,,104000,87000,86000,80000,68000,122000,104000,104000,100200,94500,90600,90500,90000,90000,92600,91000,93000,91000,91000,91000,91040,90334,90300,90300,79850,78100,73600,74500,52000,52250,52000,52000,41528.57143,36394.64286,31260.71429
Paraguay,PRY,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,14400,,,,16000,16000,16000,16000,16000,16000,28300,35000,35000,35000,35000,35000,33400,33400,33400,24000,25000,26000,26000,26000,25450,25450,25450,25450,25450,25450,25450,25450,27000,28950,29000,29000,30221.42857,30980.35714,31739.28571
